name,description,min_weight,max_weight,family_score,children_score,other_dog_score,shedding_score,grooming_score,drooling_score,stranger_score,playfulness_score,protective_score,adaptability_score,trainability_score,energy_score,barking_score,mental_stim_score
Appenzeller Sennenhund,"The Appenzeller Sennenhund is a medium sized herdng breed that is tri-color and almost squarely built and balanced. He is muscular and agile and makes a good driving, watch, guard, house or farm dog. Due to their versatility and willingness, they excel in agility, obedience, herding and search and rescue.The Appenzeller Sennenhund is one of the four Swiss Sennen type breeds and is also known as the Appenzeller Mountain Dog or Appenzell Cattle Dog. He is lively, high-spirited, self-assured, reliable and fearless. Slightly suspicious of strangers, he is a good watchdog who cannot be bribed. The breeds intelligence make them highly capable learners. Due to his personality and exercise needs, he is ill-suited to apartment living.",48,70,1,3,5,3,3,3,1,3,5,5,3,5,5,5
Australian Cattle Dog,"The compact but muscular Australian Cattle Dog, also called Blue or Red Heeler or Queensland Heeler, is related to Australias famous wild dog, the Dingo. These resilient herders are intelligent enough to routinely outsmart their owners. Standing between 17 to 20 inches at the shoulder, the Australian Cattle Dog is a sturdy, hard-muscled herder of strength and agility. The ACD is born with a white coat that turns either blue-gray or red. Both coat colors may feature distinctive mottling or speckling patterns. ACDs have immense work drive and excel at controlling and, of course, moving livestock. Their boundless energy and supple gait make them excellent running partners. ACDs are true-blue loyal, famously smart, tenacious, ever alert, and may be wary of strangers. If an ACD isnt challenged, it easily becomes bored and may get into mischief. It is recommended that ACD owners participate with these versatile dogs in some work, sport, or regular exercise to keep them mentally and physically fit.",35,50,3,3,3,3,1,1,3,3,4,3,4,5,1,4
Australian Kelpie,"The Australian Kelpie is a lithe, active dog, capable of untiring work. He is extremely intelligent, alert, and eager with unlimited energy.As a herding dog, the Australian Kelpie is intensely loyal and devoted to duty. He has a natural instinct and aptitude for working in sheep, whether it be in open fields or enclosed yards. This breed originated from Collie type dogs imported from Scotland, but was developed to withstand the harsh heat and dry conditions of the vast open spaces of Australia.",35,50,3,3,3,3,1,1,3,3,4,3,4,5,1,4
Australian Shepherd,"The Australian Shepherd, a lean, tough ranch dog, is one of those only in America stories: a European breed perfected in California by way of Australia. Fixtures on the rodeo circuit, they are closely associated with the cowboy life. The Australian Shepherd, the cowboys herding dog of choice, is a medium-sized worker with a keen, penetrating gaze in the eye. Aussie coats offer different looks, including merle (a mottled pattern with contrasting shades of blue or red). In all ways, theyre the picture of rugged and agile movers of stock. Aussies exhibit an irresistible impulse to herd, anything: birds, dogs, kids. This strong work drive can make Aussies too much dog for a sedentary pet owner. Aussies are remarkably intelligent, quite capable of hoodwinking an unsuspecting novice owner. In short, this isnt the pet for everyone. But if youre looking for a brainy, tireless, and trainable partner for work or sport, your search might end here.",40,65,3,5,3,3,2,1,3,4,3,3,5,5,3,5
Australian Stumpy Tail Cattle Dog,"The Australian Stumpy Tail Cattle Dog is not an Australian Cattle Dog with a docked tail. They are naturally bob-tailed breed and stands square with plenty of leg length under the body.There are major structural differences in breed type between the two breeds of Cattle Dogs. Stumpy Tail Cattle Dogs are a natural bob-tail breed. Some Stumpy Tail pups are born with long tails and should not be discarded from a breeding program if they are of structural quality, and bred back to quality natural bob tails.  ",32,45,1,3,1,3,3,1,1,3,3,3,3,5,1,5
Australian Terrier,"The diminutive Australian Terrier is plucky, spirited, and smarthow did they fit so much dog into such a bitty package? Upbeat and lively, the self-assured Aussie approaches life with plenty of the old-time terrier curiosity and grit. Australian Terriers are small but sturdy, self-confident terriers known for a longish torso, distinctive coat furnishings around the neck and forequarters, and a topknot of soft, silky hair that contrasts in texture with an otherwise harsh coat. A long neck lends a dash of elegance to this rough-and-ready terrier, and the dark eyes sparkle with a keen intelligence. Coat colors are blue-and-tan, or solid red or sandy. Aussies move with the free and easy gait of a working dog. They are alert watchdogs and said to be quick studies when training. True terriers, Aussies love digging, and the urge to chase small, furry critters has never left them. Not always a great fit in multi-dog households, Aussies want you all to themselves.",15,20,3,5,3,1,2,1,3,4,4,3,4,4,5,4
Azawakh,"Tall and elegant, the Azawakh is a West African sighthound who originates from the countries of Burkina Faso, Mali, and Niger. The Azawakh has a short, fine coat which may come in any color or color combinations: red, clear sand to fawn, brindled, parti-color (which may be predominantly white), blue, black and brown. The head may have a black mask and there may be white markings on the legs, bib and at the tip of tail. There are no color or marking disqualifications in the breed. Befitting its heritage, the Azawakh excels as a companion, guardian and a lure courser in the United States.This ancient hunting hound is so lean and rangy that his bone structure and musculature can plainly be seen beneath his skin. The smooth S-shaped contours, deep chest, and aerodynamic head mark the Azwakh as a member of the sighthound family, canine sprinters that rely on keen vision and blazing speed to fix and course their prey. The ultrafine coat comes in several colors and patterns. The overall look of this leggy hound is one of elegance and fineness, but dont be fooled: This is a tough, durable hunter whos been chasing gazelle across the scorching sands of the Sahara for more than a thousand years.",33,55,3,3,3,2,2,1,1,3,3,3,2,3,1,3
Barbet,"An archetypic water dog of France, the Barbet is a rustic breed of medium size and balanced proportions who appears in artwork as early as the 16th century. In profile, the Barbet is slightly rectangular with a substantial head and long, sweeping tail. He has a long, dense covering of curly hair and a distinctive beard. An agile athlete, the Barbet has been used primarily to locate, flush, and retrieve birds. He has a cheerful disposition and is very social and loyal. The defining characteristic of this rustic, medium-sized bird dog is the dense curly coat that covers him from the top of his large, broad head to the tip of his curving tail. The coat comes in shades of black, gray, brown, or fawn, sometimes with white markings. The breeds delightfully shaggy coat and amiable nature creates the impression of a Muppet come to life, but the Barbet is a strong, solidly-built dog bred for centuries to be a keen hunter and tireless swimmer. Barbets are very intelligent and learn new things quickly. They have a calm nature and are easy to live with as long as their exercise needs are being met.",35,65,4,3,3,1,5,1,3,3,3,3,4,3,3,3
Basenji,"The Basenji, Africas Barkless Dog, is a compact, sweet-faced hunter of intelligence and poise. They are unique and beguiling pets, best for owners who can meet their exercise needs and the challenge of training this catlike canine. Basenjis are small, graceful hounds standing 16 or 17 inches at the shoulder. They are recognizable by their glistening short coat, tightly curled tail, and wrinkled forehead and expressive almond-shaped eyes that convey a variety of subtle, humanlike emotions. Basenjis are a lovely sight at a standstill but more impressive yet at a fast trot, when they exhibit the long, smooth strides of a mini-racehorse. And yes, its true, they dont bark, but they make their feelings known with an odd sound described as something between a chortle and a yodel. Basenjis are fastidious and will groom themselves like cats. This has been called a cult breedsmall in numbers, but those lucky enough to own one do so with singular devotion.",22,24,3,3,3,2,1,1,3,3,3,3,2,4,1,4
Basset Fauve de Bretagne,"Smart, courageous and determined, the Basset Fauve de Bretagne is a serious hunter, easily adaptable to different types of game and terrain. It is equally an excellent companion dog, being cheerful, intelligent and eager to please.The Basset Fauve de Bretagne, also known as the Fawn Colored Brittany Basset, is a small, stocky, rough-coated hardy dog that is energetic and fast for its size. The Fauve gets along well with children and other pets. Training and socialization is a must or Fauves can get into mischief. Not nuisance barkers, you will, however, know if a rabbit runs through the yard, as they then give the hound voice and chase. This breed is as happy romping in the field as he is curled up next to the family on the sofa.",23,39,3,5,5,3,1,1,5,3,1,5,1,4,3,5
Basset Hound,"Among the most appealing of the AKC breeds, the endearing and instantly recognizable Basset Hound is a perennial favorite of dog lovers all over the world. This low-slung and low-key hound can be sometimes stubborn, but is always charming. The Basset Hound stands no higher than 14 inches at the shoulder but, with his remarkably heavy bone, powerful little legs, and massive paws, he possesses big-dog strength and stamina. Bassets are famous for a large, domed head that features extremely long, velvety ears, mournful eyes, and a wrinkled brow, which give the breed the look of a sad clown. Built more for endurance than speed, the Basset moves in a deliberate but effortless manner. The breeds scenting ability is uncanny; its said that among dogs only the Bloodhounds nose is more accurate. Mild and agreeable at home, the Basset is stubborn on the trail and barks in a loud, ringing voice. Although they may not be wildly demonstrative in their affections, they are steadfastly loyal.",40,65,3,5,5,2,3,4,3,3,3,3,3,2,4,3
Bavarian Mountain Scent Hound,"The Bavarian Mountain Scent Hound is calm and balanced, devoted to its owner, and reserved with strangers. He is a sound, self-assured, unafraid, biddable dog, neither shy nor aggressive.Hailing from Germany, the Bavarian Mountain Scent Hound is the Bayerischer Gebirgsschweisshund in its native German. The breeds most notable trait is its outstanding cold nose tracking ability. His nose is so acute, he can distinguish between the injured game he is hunting and other animals of the same species. This somewhat lightweight, active, medium-sized breed is devoted to his owner, but can be reserved with strangers. He is not a kennel dog and prefers to be around his human family.",37,66,3,3,3,3,2,2,3,3,3,3,4,4,2,4
Beagle,"Not only is the Beagle an excellent hunting dog and loyal companion, it is also happy-go-lucky, funny, andthanks to its pleading expressioncute. They were bred to hunt in packs, so they enjoy company and are generally easygoing. There are two Beagle varieties: those standing under 13 inches at the shoulder, and those between 13 and 15 inches. Both varieties are sturdy, solid, and big for their inches, as dog folks say. They come in such pleasing colors as lemon, red and white, and tricolor. The Beagles fortune is in his adorable face, with its big brown or hazel eyes set off by long, houndy ears set low on a broad head. A breed described as merry by its fanciers, Beagles are loving and lovable, happy, and companionableall qualities that make them excellent family dogs. No wonder that for years the Beagle has been the most popular hound dog among American pet owners. These are curious, clever, and energetic hounds who require plenty of playtime.",20,30,3,5,5,3,2,1,3,4,2,4,3,4,4,4
Bearded Collie,"A boisterous and charismatic droving dog from Scotland, the shaggy-coated Bearded Collie (Beardie to his friends) enjoys outdoor exercise in all weather. Bred to be independent decision-makers, they can be willful but are always friendly. Standing 20 to 22 inches at the shoulder and covered head to tail in a shaggy double coat, Beardies bear a passing resemblance to another British favorite, the Old English Sheepdog. Beneath the coats, Beardies are the more lean and angular of the two. The lavish facial hair shouldnt obscure the characteristic expression: a dreamy, faraway gaze. These rambunctious comics can be a handfulbut mostly, Beardies are approximately 50 pounds of heart, energy, and laughter. Well-socialized Beardies will get on nicely with other animals and kids. They bore easily, and training must be kept interesting. Outdoorsy families looking for a sturdy dog to share an uptempo lifestyle will never find a more affectionate and amusing sidekick.",45,55,4,5,5,3,4,1,4,4,3,4,3,4,5,3
Beauceron,"The Beauceron is imposing and powerful, but also remarkably smart, spirited, and a versatile herder. Imagine a Border Collies brain in a 100-pound body. They are especially beloved by women as a dashing but sensitive companion and protector.Beaucerons are muscular, rugged, and large, standing as high as 27.5 inches at the shoulder, and yet graceful and in all ways balanced. Their dark black coats feature handsome squirrel-red accents, including the red feet that give the breed its French nickname Bas-Rouge (red stockings). Theyre also seen in a black-gray-tan coat. The long head is well chiseled, and the dark brown eyes project expression breed fanciers describe as frank and confident. Theyre not for novice owners, who might end up being owned by their dominant dog instead of the other way around. That said, well-trained and socialized Beaucerons are levelheaded watchdogs and guardians, especially good with the young, the small, and the defenseless.",70,110,3,3,3,4,3,1,2,3,4,3,3,5,3,3
Bedlington Terrier,"Graceful terriers in sheeps clothing, Bedlington Terriers, named for the English mining shire where they were first bred, are genial housemates, alert watchdogs, versatile athletes, and irresistibly cuddly TV-time companions.Bedlingtons are lithe, energetic Englishmen. The crisp, curly coat; arched back; tasseled ears; scimitar-shaped tail; and fleecy, pear-shaped head are identifying features of this one-of-a-kind breed. As the curvy contours indicate, theres sighthoundWhippet, most likelyin their family tree. Bedlingtons move with a light, springy step and when roused to pursuit can run like the wind. Rollicking, charming, and full of fun, Bedlingtons want most to be their familys center of attention and are known to be protective of loved ones. For an active family looking for a no-shedding, lively, and loyal companion, the search might end here.",17,23,3,3,3,1,3,1,3,3,4,3,3,4,3,3
Belgian Laekenois,"Strong, agile and full of life, the Belgian Laekenois (pronounced Lak-in-wah) is one of four native dogs of Belgium. Although similar in body and temperament to the Malinois, Shepherd and Tervuren, the Laekenois differs in coat color, texture and length, as well as region of origin.Of the four closely related Belgian herders, the Belgian Sheepdog, Malinois, Tervuren, and Laekenois, the Laekenois is the rarest. This strong and sturdy dog is distinguished from his brethren by a rough, tousled coat that comes in shades of red or fawn or in grayish tones. The blackening around the muzzle points up the expression of keen watchfulness shining from the dark almond-shaped eyes. The Belgian Laekenois is protective of his master and property. Although observant with strangers, the breed is affectionate and friendly with those he knows well. The Laekenois coat requires regular brushing and occasional bathing, and as a working dog, it needs daily exercise.",55,65,3,3,3,3,2,1,3,3,4,3,5,4,3,4
Belgian Malinois,"The smart, confident, and versatile Belgian Malinois is a world-class worker who forges an unbreakable bond with his human partner. To deny a Mal activity and the pleasure of your company is to deprive him of his very reasons for being. Belgian Malinois are squarely built, proud, and alert herders standing 22 to 26 inches. Strong and well-muscled, but more elegant than bulky, theres an honest, no-frills look about them, as befit dogs built to work hard for their feed. A breed hallmark is the proud carriage of the head. Coat colors range from a rich fawn to mahogany. The black ears and mask accentuate bright, questioning eyes the color of dark Belgian chocolate. If you have ever seen a Mal perform an obedience routine, you know firsthand what a smart and eager breed this is. Problems set in, though, when this people-oriented dog is underemployed and neglected. Exercise, and plenty of it, preferably side by side with their adored owner, is key to Mal happiness.",40,80,3,3,3,3,2,1,3,3,4,3,5,4,3,4
Belgian Sheepdog,"The Belgian Sheepdog is a highly trainable herder whose versatility and intelligence is the stuff of canine legend. This is a breed built for hard work, and plenty of it. These sensitive souls crave human companionship and abhor neglect. The stirring silhouette of a Belgian Sheepdog conveys both elegance and muscular determination. A handsome feature of the breed is the exceedingly proud carriage of the head and neck. A male might stand 26 inches at the shoulder; females are smaller. The dark eyes sparkle with a questioning intelligence, and the black coat is abundant, from the necks collarette to the breeches of the hindquarters. In all ways, Belgian Sheepdogs are bright-eyed and bushy-tailed. In any sport or activity, a Belgian will always give 100 percent. In turn, owners tend to form a special bond with their eager workaholics. As one devotee puts it, Belgians inspire such intense loyalty because they themselves live and love with such great passion.",45,75,3,3,3,3,2,1,3,3,4,3,5,4,3,4
Belgian Tervuren,"The elegant, agile Belgian Tervuren is a bright and self-assured herding dog of medium size, known to be affectionate and possessive with loved ones. Lots of hard work and challenging play is heaven for this tireless, do-it-all dog. The Belgian Tervuren is characterized by a straight and abundant coat, an elegant but muscular frame, a proudly carried head, an alert and intelligent demeanor, and an insatiable work drive. The Tervs coat furnishings, like the sporty collarette around the neck, are more profuse on males, who run larger than females. Their intelligence and high activity level can be a challenge for the less creative individual who may not understand the breeds need to work, warns one longtime owner. But dont get the idea that Tervs are grim, mechanical worker drones. In fact, Tervs take real delight in their ability to master any task, and owners say a mischievous sense of humor is at work whenever Tervs outsmart their beloved human.",45,75,3,3,3,3,2,1,3,3,4,3,5,4,3,4
Bergamasco Sheepdog,"Generally happy with kids and other animals, the low-maintenance and robustly healthy Bergamasco is much more than a show-stopping hairdo. Eager to please, smart, and stubbornly devoted to work, Bergamascos are patient but protective.Beneath the one-of-a-kind coat is a large, muscular shepherd dog of ancient pedigree. But, since the coat is the breeds hallmark, lets take a close look. The Bergamasco Sheepdog has hair of three different textures that form naturally occurring loose mats, or flocks (strands of hair woven together, creating flat layers of felted hair), covering the body and legs. The flocks provide protection from the fierce cold and wild predators of the Italian Alps, the breeds ancestral homeland. Bergamascos are bright, loyal, loving, and trainable with a dash of mountain-dog independence. They take to watching over loved ones with a serene vigilance. Wary of strangers until properly introduced, Bergamascos are aggressive only as a last resort.",57,84,3,3,3,1,1,2,3,3,4,3,3,3,1,3
Berger Picard,"The Berger Picard is a lanky herding dog of strong bone and sturdy build. Picards spent centuries as take-charge independent problem-solvers, so early socialization and positive training are necessary to cope with their stubborn streak. You can spot a Berger Picard a mile away thanks to his erect ears standing 4 to 5 inches high, a wavy fawn or brindle coat, and a strong tail that tapers to a distinctive J-hook. Males stand as high as 26 inches, and females as low as 21 inches. The eyes are dark and glistening, and the rectangular head is furnished with shaggy eyebrows, beard, and mustache the very image of a sagacious and worldly Frenchman. The Berger Picard is an ideal companion for athletic owners. Their rugged constitution, agility, and boundless energy make them eager partners in all kinds of sports, games, and outdoor pastimes. Exercise is a must; prolonged idleness and neglect will likely lead these sensitive, super-smart dogs to destructive behavior.",50,70,3,3,3,3,1,1,3,3,4,3,4,4,2,4
Bernese Mountain Dog,"Big, powerful, and built for hard work, the Bernese Mountain Dog is also strikingly beautiful and blessed with a sweet, affectionate nature. Berners are generally placid but are always up for a romp with the owner, whom they live to please. The Bernese Mountain Dog is a large, sturdy worker who can stand over 27 inches at the shoulder. The thick, silky, and moderately long coat is tricolored: jet black, clear white, and rust. The distinctive markings on the coat and face are breed hallmarks and, combined with the intelligent gleam in the dark eyes, add to the Berners aura of majestic nobility. A hardy dog who thrives in cold weather, the Berners brain and brawn helped him multitask on the farms and pastures of Switzerland. Berners get along with the entire family and are particularly gentle with children, but they will often become more attached to one lucky human. Berners are imposing but not threatening, and they maintain an aloof dignity with strangers.",70,115,5,5,5,5,3,3,4,4,3,4,4,4,3,3
Bichon Frise,"The small but sturdy and resilient Bichon Frise stands among the worlds great personality dogs. Since antiquity, these irresistible canine comedians have relied on charm, beauty, and intelligence to weather historys ups and downs. A good-size Bichon will stand a shade under a foot tall at the shoulder. The breeds glory is a white hypoallergenic coat, plush and velvety to the touch, featuring rounded head hair that sets off the large, dark eyes and black leathers of the nose and lips. Bichons are adaptable companions who get on well with other dogs and children. Alert and curious, Bichons make nice little watchdogsbut they are lovers, not fighters, and operate under the assumption that there are no strangers, just friends they havent met yet. Their confidence and size make them ideal city dogs. Bichons train nicely and enjoy performing for their loved ones. Finally, theres the happy-go-lucky Bichon personality that draws smiles and hugs wherever they go.",12,18,5,5,5,1,5,1,5,4,2,4,4,4,3,3
